Years,CO2,CH4,N2O,HFC-134a,HFC-23,HFC-32,HFC-125,HFC-143a,HFC-152a,HFC-227ea,HFC-236fa,HFC-245fa,HFC-365mfc,HFC-43-10mee,NF3,SF6,SO2F2,CF4,C2F6,C3F8,C4F10,C5F12,C6F14,C7F16,C8F18,c-C4F8,CFC-12,CFC-11,CFC-113,CFC-114,CFC-115,HCFC-22,HCFC-141b,HCFC-142b,CH3CCl3,CCl4,CH3Cl,CH2Cl2,CHCl3,CH3Br,Halon-1211,Halon-1301,Halon-2402,CFC-12-eq,HFC-134a-eq,CFC-11-eq
1870,287.35499955429816,852.4350131373343,275.7200476979137,0,0,0.0002691770095226409,0,0,0,4.872183780763449e-06,0,0,0,0,0,0,2.594370034818477e-05,34.05019999683853,0.0002197247962574732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025000428677873512,457.00000000000017,6.912761280220138,6,5.2999978176457105,0.0044465725806451615,0,0,16.512882526877547,19.153806224333948,32.11050540190094
1871,287.4939995287909,853.9930722341896,275.9030465085917,0,0,0.00027171641527285454,0,0,0,4.91814777869518e-06,0,0,0,0,0,0,2.619078320864367e-05,34.05029999683834,0.0002318834535703476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025000428677873512,457.00000000000017,6.912761280220138,6,5.2999978176457105,0.0044465725806451615,0,0,16.512882526877547,19.15388360162242,32.11055301869385
1872,287.6639994906144,855.2329918096625,276.078047261639,0,0,0.00027425582102306816,0,0,0,4.964111776626909e-06,0,0,0,0,0,0,2.6437866069102578e-05,34.05029999683818,0.0002441999608832017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025000428677873512,457.00000000000017,6.912761280220138,6,5.2999978176457105,0.0044465725806451615,0,0,16.512882526877547,19.153904975551526,32.11056617188099
1873,287.85999946655244,856.1682009280976,276.25004691178646,0,0,0.00027679522677328167,0,0,0,5.01007577455864e-06,0,0,0,0,0,0,2.6684948929561482e-05,34.050299996838,0.00025668056819609474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025000428677873512,457.00000000000017,6.912761280220138,6,5.2999978176457105,0.0044465725806451615,0,0,16.512882526877547,19.153926605886877,32.110579482856586
1874,288.0609994747667,857.8200701694396,276.416047390746,0,0,0.0002793346325234953,0,0,0,5.056039772490371e-06,0,0,0,0,0,0,2.693203179002038e-05,34.050399996837854,0.0002693315755089699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025000428677873512,457.00000000000017,6.912761280220138,6,5.2999978176457105,0.0044465725806451615,0,0,16.512882526877547,19.15400475247225,32.11062757306297
1875,288.29099944872956,859.4690603160815,276.585046866053,0,0,0.0002818740382737089,0,0,0,5.1020037704221014e-06,0,0,0,0,0,0,2.7179114650479277e-05,34.050399996837655,0.0002821592828218371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025000428677873512,457.00000000000017,6.912761280220138,6,5.2999978176457105,0.0044465725806451615,0,0,16.512882526877547,19.15402692515134,32.11064121778856
1876,288.51999943516995,860.8591008221174,276.7350474457116,0,0,0.0002844134440239225,0,0,0,5.1479677683538316e-06,0,0,0,0,0,0,2.7426197510938182e-05,34.05049999683749,0.00029516999013469425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025000428677873512,457.00000000000017,6.912761280220138,6,5.2999978176457105,0.0044465725806451615,0,0,16.512882526877547,19.154105633767948,32.11068965386032
1877,288.75199942348434,862.3791145747814,276.8640480828145,0,0,0.00028695284977413614,0,0,0,5.1939317662855625e-06,0,0,0,0,0,0,2.7673280371397086e-05,34.05049999683731,0.0003083699974475932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025000428677873512,457.00000000000017,6.912761280220138,6,5.2999978176457105,0.0044465725806451615,0,0,16.512882526877547,19.1541283881658,32.11070365656669
1878,288.99299941266867,864.1391514632431,277.0020474139247,0,0,0.0002894922555243497,0,0,0,5.2398957642172935e-06,0,0,0,0,0,0,2.792036323185599e-05,34.050599996837136,0.0003217655547604543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025000428677873512,457.00000000000017,6.912761280220138,6,5.2999978176457105,0.0044465725806451615,0,0,16.512882526877547,19.15420769811053,32.11075246268653
1879,289.2209993767829,866.2831592314161,277.13304805373815,0,0,0.00029203166127456326,0,0,0,5.285859762149025e-06,0,0,0,0,0,0,2.8167446092314892e-05,34.05059999683696,0.00033536301207332263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025000428677873512,457.00000000000017,6.912761280220138,6,5.2999978176457105,0.0044465725806451615,0,0,16.512882526877547,19.15423107352401,32.11076684755636
